"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"PF3D7_1365900",0.858714216088195,19.8358679455885,4.98742797004298,0.0044306172925989,0.00593246624251661,-2.39260074451155,"Stable"
"PF3D7_0409800",0.84410033877131,4.29919141090463,1.04172592525419,0.346350042852614,0.360814318097603,-7.08823984316666,"Stable"
"PF3D7_0501100",0.79650539266072,4.50944179742773,1.05007179730185,0.342857944393497,0.357784989411211,-7.07967019522772,"Stable"
"PF3D7_1139800",0.788005811131123,4.75065242419312,0.736324379479477,0.495365537416831,0.510504042804782,-7.3681554625777,"Stable"
"PF3D7_1248500",0.668145654754914,4.26426616678793,0.837774289758875,0.441227339387555,0.456260638855615,-7.28302265766875,"Stable"
"PF3D7_1440000",0.596162847650644,3.60584343795918,0.459544949631011,0.665578276530206,0.680144804467736,-7.55290885265424,"Stable"
"PF3D7_0506100",0.529065876069732,14.4787772481654,3.09769859592575,0.027791051118737,0.0336262485629369,-4.49224582671417,"Stable"
"PF3D7_0627100",0.525951074592276,15.7184524881689,1.62702684877696,0.166065187982756,0.177479335244302,-6.40638917235151,"Stable"
"PF3D7_0420300",0.500943786157571,5.12730465576493,0.649041022178283,0.545599702938241,0.560686827906623,-7.43430656169764,"Stable"
"PF3D7_1139300",0.482061161796018,14.8105412160878,3.42294063014029,0.0194988980564642,0.024253752295643,-4.09287011257202,"Stable"
"PF3D7_1326300",0.482002021449482,5.60077258199618,0.704714161418839,0.513172845420797,0.52855642053805,-7.39290009806109,"Stable"
"PF3D7_1448500",0.450096854390967,17.2254103083271,3.19937676536127,0.0248315968994535,0.0302868974908941,-4.36577904395361,"Stable"
"PF3D7_0302600",0.414330836645242,13.4861677798168,1.24419034759925,0.269823966665489,0.284345742649222,-6.86913449920311,"Stable"
"PF3D7_1358900",0.387598188948008,15.91415679867,1.97393117759786,0.106772761943959,0.117981310376183,-5.95650989821647,"Stable"
"PF3D7_0528000",0.383235372734777,16.5894280514973,2.80825391790181,0.0386375406737154,0.0455988085332701,-4.859626048385,"Stable"
"PF3D7_0424500",0.382423936456609,4.23151928147524,0.452866425446569,0.670057559919347,0.68433809120198,-7.55642187111629,"Stable"
"PF3D7_1232300",0.336234688809776,3.75743962979275,0.265305703529604,0.801610347055656,0.811413252911812,-7.63517482721459,"Stable"
"PF3D7_0409400",0.329005239260646,4.3999484424227,0.329144572375417,0.755695370354765,0.767496525050768,-7.61277278476335,"Stable"
"PF3D7_1222100",0.322116966340214,5.41813702307233,0.512962994133327,0.630333681056517,0.645577971430775,-7.52312919800946,"Stable"
"PF3D7_1145600",0.310527006258909,18.3728883114191,2.53024319536358,0.0536682072167919,0.0618934802671173,-5.22117125736645,"Stable"
"PF3D7_1227000",0.30407935635636,4.65373664934136,0.186529351109146,0.85953180225582,0.867631603053131,-7.65634349055745,"Stable"
"PF3D7_1022500",0.286193323985612,4.16873930684743,0.355734025794347,0.736892215329384,0.749654035818328,-7.60208329384159,"Stable"
"PF3D7_0218400",0.267416274516213,13.7153209633815,1.23882917742706,0.271638023957325,0.286032744938508,-6.87521265610418,"Stable"
"PF3D7_1312100",0.23639189904705,5.41096537279558,0.405344792759337,0.702373786888408,0.71533706147863,-7.58004327867003,"Stable"
"PF3D7_1107700",0.236091963457255,16.2913268062307,2.02126725971671,0.10057714685442,0.111473514559889,-5.89406174929394,"Stable"
"PF3D7_0526300",0.213803429461642,13.2975048776259,1.02813771699713,0.352100000883242,0.366385200919076,-7.10209909322961,"Stable"
"PF3D7_1366400",0.206016493538449,26.6778388944092,1.65491662638066,0.160254176605485,0.171862694698815,-6.37096651523505,"Stable"
"PF3D7_1351800",0.189936950609138,4.12751094124911,0.148163800931532,0.888137684014426,0.893041812584356,-7.66401790585973,"Stable"
"PF3D7_0407300",0.172158618949755,13.6169817536281,0.300814396133036,0.77594368896333,0.787182984736615,-7.62328678030933,"Stable"
"PF3D7_0926100",0.160427714637731,5.16215245301845,0.109091892516685,0.917471005984571,0.921519416380531,-7.67003937094664,"Stable"
"PF3D7_0731100",0.133702520084532,2.8447229324993,0.158433279457074,0.880459423306468,0.885810281680154,-7.66213424413408,"Stable"
"PF3D7_1305300",0.108900878343821,16.2929393279298,0.487288446488576,0.647142098244516,0.662420326533594,-7.53781279412963,"Stable"
"PF3D7_1028300",0.0936302650703897,14.3008710111245,0.887034116550403,0.416610432929105,0.43154015834124,-7.23871734637641,"Stable"
"PF3D7_0619000",0.0872782518381836,4.89282007481061,0.178612598522157,0.865416242046039,0.873087521753926,-7.65806942746337,"Stable"
"PF3D7_1134600",0.0100910049311995,13.9344805971866,0.106013558911421,0.919789163252542,0.923338515040176,-7.67043648533663,"Stable"
"PF3D7_1310800",0.00870057216555864,16.7988250795923,0.0612664043394978,0.95357569413458,0.955674925161844,-7.67492931947278,"Stable"
"PF3D7_1014900",-0.00163516691600307,23.4258106625637,-0.0124423304222297,0.990565075626378,0.991109342151448,-7.67709182629318,"Stable"
"PF3D7_0303400",-0.00371751239384999,5.67285845109791,-0.0052695274984369,0.996004055505141,0.996004055505141,-7.67716819642478,"Stable"
"PF3D7_0104300",-0.0151479219449779,14.3904678351262,-0.0476968092798773,0.963847262481872,0.965437769515671,-7.67581761370231,"Stable"
"PF3D7_1311300",-0.018291717520122,4.22262414904952,-0.0718591413189101,0.945564498645628,0.948167925128683,-7.67408238270902,"Stable"
"PF3D7_1121700",-0.0184002994815042,13.6699877703465,-0.0841622132267363,0.936269072004231,0.939364176374493,-7.67292990971098,"Stable"
"PF3D7_1354600",-0.0368666811358729,15.7219941035077,-0.297172944939719,0.778561555735783,0.789398993872417,-7.62457220865406,"Stable"
"PF3D7_0909900",-0.0512913881703945,15.768917753851,-0.175997833831883,0.867361979874775,0.874565983029881,-7.65862324827198,"Stable"
"PF3D7_0509400",-0.0746896272899313,13.4729914107873,-0.61818083761064,0.564147999942016,0.57876817346164,-7.45602447182232,"Stable"
"PF3D7_1239000",-0.130589907834464,14.0984810133621,-0.396288974790979,0.708617203637555,0.72129230174622,-7.58426792097107,"Stable"
"PF3D7_0425800",-0.132262568963103,19.512590885325,-0.439866267265457,0.678821617437428,0.692900316902218,-7.56312437046757,"Stable"
"PF3D7_1302000",-0.13731441333049,18.2720498723749,-0.830235519284464,0.445091224901626,0.459994960582214,-7.28963724730562,"Stable"
"PF3D7_1352100",-0.158315477316264,3.98024716045079,-0.140739414862195,0.893697521556906,0.898136416531527,-7.6653018149991,"Stable"
"PF3D7_1238000",-0.179106710117755,4.09991681685,-0.241212886021375,0.819191818132134,0.828288895512835,-7.64241533035194,"Stable"
"PF3D7_1450000",-0.180266877123774,15.9382328687912,-2.24809635062183,0.0757403062055006,0.0854542116482135,-5.59368501793996,"Stable"
"PF3D7_0511500",-0.182293880366206,17.5813497670761,-1.17412990392369,0.294415942840677,0.30913270369294,-6.94745382881443,"Stable"
"PF3D7_1445000",-0.196706187339347,4.22768376990614,-0.280631134199865,0.790495291566772,0.800607300302053,-7.63022104687066,"Stable"
"PF3D7_1233600",-0.199811183029217,15.2339360372201,-0.348704489873852,0.741843579385807,0.754269769995284,-7.60498615731523,"Stable"
"PF3D7_1113000",-0.201205977303506,27.6034150179727,-1.40688468608713,0.219816400929609,0.233130848044739,-6.67873679014673,"Stable"
"PF3D7_1006900",-0.234934533678439,12.3813380841281,-0.0414513766690745,0.968577600452083,0.969642556582322,-7.67615217504144,"Stable"
"PF3D7_0708100",-0.239724041728665,5.2454788230126,-0.230249041903818,0.827233642677006,0.835492214816877,-7.64548760466996,"Stable"
"PF3D7_0705000",-0.255092724156386,5.02739395672226,-0.46176621347883,0.664091980250636,0.679388480919331,-7.55172997750735,"Stable"
"PF3D7_1021200",-0.266066549233117,4.50649560553194,-0.165633348687864,0.87508495743958,0.881240425510089,-7.66073911505505,"Stable"
"PF3D7_1139100",-0.274441054545335,16.4826024778006,-0.69428008087074,0.519147434130403,0.534407844856678,-7.40087409634871,"Stable"
"PF3D7_1431700",-0.286110860452659,25.1174180231155,-2.76194907549779,0.040778378024737,0.0479080170213201,-4.91932004696562,"Stable"
"PF3D7_1104300",-0.29057582114958,4.15692035602078,-0.518432214703168,0.626785328140175,0.642305054892098,-7.51991373103095,"Stable"
"PF3D7_1333600",-0.302880861318924,14.7736841740665,-2.28846474535891,0.0720535179549402,0.081637330109995,-5.54020217436585,"Stable"
"PF3D7_1012300",-0.324950643863103,4.75393071483441,-0.420974814840244,0.691660825857551,0.705215209343002,-7.57254218952074,"Stable"
"PF3D7_1309500",-0.328965582727879,3.97802979331422,-0.254896255651326,0.809190846115889,0.818631405987241,-7.63838543112656,"Stable"
"PF3D7_0910900",-0.337966890177431,3.10554504406462,-0.284373750472815,0.787789374625319,0.798310768610298,-7.62897035834323,"Stable"
"PF3D7_0606500",-0.356497576567401,15.7251129992274,-3.96691971665606,0.0111890694499004,0.0143084940086156,-3.46009167941089,"Stable"
"PF3D7_0113200",-0.359972167063979,4.53523743215164,-0.306146186625226,0.772116749751111,0.783737235951379,-7.62137746320328,"Stable"
"PF3D7_1006700",-0.418727629153029,18.3830393965509,-2.40981799302577,0.0620905651039805,0.0708883505042938,-5.37971129431976,"Stable"
"PF3D7_1218400",-0.427772305723749,4.50538689110743,-0.406937878540056,0.70127819896398,0.714620929106551,-7.57929085304238,"Stable"
"PF3D7_0918900",-0.433764572041856,17.9500215846873,-1.49510889836605,0.196501339699989,0.20913438900858,-6.5713164698207,"Stable"
"PF3D7_1313800",-0.442922127780701,15.4280562273194,-3.98640885753994,0.0109778300561168,0.0140581072659555,-3.43825915714635,"Stable"
"PF3D7_1407900",-0.448301115183462,18.4074447990662,-4.27902915046133,0.00830115506889468,0.0107743431079524,-3.11738288847797,"Stable"
"PF3D7_1008800",-0.479824568083973,17.3217979073734,-1.2442699108957,0.269797128067358,0.284345742649222,-6.86904419295825,"Stable"
"PF3D7_1438700",-0.515646064975012,16.516467974518,-1.17053200622079,0.295731422117051,0.310211359259879,-6.95140869469171,"Stable"
"PF3D7_0801500",-0.531334671521238,14.901079751599,-2.22807395094317,0.077643727821453,0.087547509822208,-5.62022082348954,"Stable"
"PF3D7_1216400",-0.540462330617366,4.35701291419491,-0.460749441684324,0.664772106578859,0.679702417787818,-7.5522702479536,"Stable"
"PF3D7_0717100",-0.548756715895648,14.4347015855143,-4.0820485342599,0.0100057651197536,0.012858502669775,-3.33195852366769,"Stable"
"PF3D7_1111100",-0.572902433378228,17.8007956634015,-2.12150465466865,0.0886740648245584,0.0991864078903691,-5.76145457074261,"Stable"
"PF3D7_1237200",-0.597791407849551,16.176486564342,-1.81975488216168,0.129857025798277,0.141768371689845,-6.15856211345074,"Stable"
"PF3D7_1438500",-0.61235782248376,13.6706191407668,-5.24963143952316,0.0035686463859717,0.00481727581086321,-2.1419518866788,"Stable"
"PF3D7_1210400",-0.613678711736556,14.2677468498232,-2.83727828923462,0.0373596068629979,0.0441478547031273,-4.82232973264944,"Stable"
"PF3D7_1349200",-0.632037978299071,21.2329403497447,-6.363904249989,0.00154608164483539,0.00216403895099557,-1.17081684816462,"Stable"
"PF3D7_0729300",-0.64184802346087,14.8167102926265,-3.48320599512658,0.0182935891898355,0.0228481659222842,-4.0205576252946,"Stable"
"PF3D7_1415300",-0.71527933924056,15.8326301159252,-1.86167307694919,0.123110994326376,0.134969970300018,-6.10388021313524,"Stable"
"PF3D7_0106700",-0.721379105435846,15.2120730749275,-2.55025827283112,0.0523937125547125,0.0605771114680199,-5.19491513855091,"Stable"
"PF3D7_1028400",-0.731234194220438,15.7899552144948,-4.26230135266708,0.00843204494599316,0.0109208775580751,-3.13537828850118,"Stable"
"PF3D7_0909400",-0.744960235412485,16.2642647144285,-3.21398371372753,0.0244364821736361,0.0298449591134751,-4.34772887856313,"Stable"
"PF3D7_0502400",-0.754269885768579,14.6458432099706,-4.88009840150307,0.0048524905935291,0.0064612898416389,-2.49785939650806,"Stable"
"PF3D7_1435500",-0.773004304292594,4.37879475619346,-0.861772012882629,0.429098244215193,0.444222798587758,-7.26167101941859,"Stable"
"PF3D7_1030100",-0.780835574425879,13.9949523058668,-4.59804194477149,0.00620563340609374,0.00814154065741837,-2.78210418045844,"Stable"
"PF3D7_1133100",-0.793096516235194,14.9667750966944,-3.69512333804129,0.0146834814572734,0.018517049677074,-3.77062243699041,"Stable"
"PF3D7_1435700",-0.802538875238374,16.2772198076435,-3.37476073520017,0.0205278935604204,0.0254121646319004,-4.15106914556578,"Stable"
"PF3D7_1223500",-0.817575795178044,17.8417185277294,-9.46010982957515,0.000253393783265293,0.00040834520294345,0.922228488215332,"Stable"
"PF3D7_1435200",-0.821161741210734,13.8346938967427,-1.68690354519402,0.15383949434582,0.165372915704686,-6.33013527113569,"Stable"
"PF3D7_1472200",-0.838096612933846,16.6860044431523,-2.03722147609229,0.0985750154980985,0.10939148754839,-5.87298412135426,"Stable"
"PF3D7_0111800",-0.840870349850448,12.9615080673759,-3.18610828191939,0.0251967866767134,0.0306706875255983,-4.38220118211231,"Stable"
"PF3D7_0806500",-0.845915936718892,15.7997972724533,-4.68771601203044,0.00573245221157725,0.00756434454875519,-2.69051710354958,"Stable"
"PF3D7_1148700",-0.854562724154537,17.3864465494652,-3.35148357585099,0.021047102360896,0.0260372101896683,-4.17930935500486,"Stable"
"PF3D7_1024800",-0.854791715193745,21.0521228089104,-9.51223961554824,0.000246977466003164,0.000398357808318654,0.95168357887828,"Stable"
"PF3D7_1241800",-0.865851183679334,16.0563851557641,-7.81706159338919,0.000611983914690961,0.000903097819005057,-0.0952742026167366,"Stable"
"PF3D7_1212800",-0.875191669029372,12.8155246251065,-0.165897132310862,0.874888200869741,0.881240425510089,-7.66068683844849,"Stable"
"PF3D7_1443000",-0.881504358703067,13.9201112157164,-2.87280804347104,0.0358590120356305,0.0425679666994024,-4.77680488404626,"Stable"
"PF3D7_0523400",-0.901745376787577,12.7358298725587,-0.165166454313382,0.875433239839512,0.881240425510089,-7.66083144247525,"Stable"
"PF3D7_0513600",-0.906694352198876,18.2828117356425,-8.9901363298618,0.000321229666996208,0.00050384084720077,0.649369436276805,"Stable"
"PF3D7_1016300",-0.907343286594067,20.9844947485232,-9.05981220018745,0.000309912125671411,0.000489038111653067,0.690674850340535,"Stable"
"PF3D7_0108300",-0.918583650232286,20.4988766846302,-8.72303354582216,0.000369451079505514,0.000574036190938175,0.488153263350464,"Stable"
"PF3D7_1464500",-0.926473905667326,4.22689141590025,-1.36704037412606,0.231191133711844,0.244909281261936,-6.72635773998482,"Stable"
"PF3D7_0823300",-0.928007597932254,18.4103089896607,-4.85143498129039,0.00497300389835031,0.00661010226196782,-2.52623696612677,"Stable"
"PF3D7_0706000",-0.968954157191753,20.5618127493713,-9.62414811060887,0.000233847532158907,0.000379533294172343,1.01438854923898,"Stable"
"PF3D7_0628600",-0.974271648887077,15.7552335543394,-9.73507771521659,0.000221647851642526,0.000361020337961574,1.07584619298662,"Stable"
"PF3D7_0320800",-0.988194779152341,18.8161200396782,-3.28745391788998,0.0225541279364139,0.0277507209271687,-4.25739887115111,"Stable"
"PF3D7_0912800",-1.00445360182215,15.5053797488913,-7.4290010264771,0.000771835299518514,0.00112892536580178,-0.364234404106887,"Stable"
"PF3D7_0310500",-1.01878027396928,16.3583630492825,-8.88604057413691,0.000339072119512807,0.000528638980850019,0.587087275037508,"Stable"
"PF3D7_1235300",-1.02208167625905,14.8824175331314,-3.25444619397923,0.0233786702991831,0.0286490973181779,-4.29788589068816,"Stable"
"PF3D7_1345800",-1.02399157637066,13.9401915621158,-5.08602590278504,0.00408051982028566,0.0054838572640149,-2.29727910914099,"Stable"
"PF3D7_1231500",-1.02626039655178,16.6825491030925,-4.81986579048135,0.00510981127323357,0.00678204542897838,-2.55762286020353,"Stable"
"PF3D7_0924700",-1.02837107298557,16.7001225712914,-3.87084891376336,0.0123015091051375,0.0156541216495145,-3.56856220181882,"Stable"
"PF3D7_1427400",-1.03417621629716,15.0983810100677,-6.83948496139572,0.00112110422714392,0.0015974419386769,-0.797473202347203,"Stable"
"PF3D7_0830500",-1.03792051855402,12.943040555195,-7.0927011415807,0.000951936213426274,0.00137142076317187,-0.60756635032788,"Stable"
"PF3D7_0521700",-1.03948316723775,16.5713066296602,-4.357173735179,0.0077201332317457,0.0100416875821492,-3.03386900576251,"Stable"
"PF3D7_0606600",-1.05155347762278,17.7742662706155,-4.63426007240711,0.00600922853348858,0.00790665112679386,-2.74497514143052,"Stable"
"PF3D7_0602600",-1.05175424812519,14.9810879415194,-6.49650972782266,0.00141080426376519,0.00198690994920063,-1.06444324955778,"Stable"
"PF3D7_1438000",-1.0590036062831,15.1074152096878,-9.24744951769203,0.000281723104428111,0.00044883444721224,0.800416105784054,"Stable"
"PF3D7_1136000",-1.07272702113716,6.07807836121296,-1.06752427696538,0.335652108406701,0.350672684686519,-7.06161113678627,"Stable"
"PF3D7_1317000",-1.07679618984125,16.5181893440205,-3.34990884309183,0.02108276395096,0.0260506995889219,-4.18122271310775,"Stable"
"PF3D7_1230900",-1.07969975078367,13.7080862220753,-3.92130377699231,0.0117021157473869,0.0149226560055963,-3.51141925978559,"Stable"
"PF3D7_0608800",-1.08986377415258,25.8737676845025,-13.9026662351994,0.0000410234099158936,0.0000878866228904027,2.9800337250175,"Stable"
"PF3D7_1451200",-1.09192753271356,16.4319320564053,-6.40754283308507,0.00149993227301183,0.00210105897627272,-1.13561100968854,"Stable"
"PF3D7_1368400",-1.10272910148045,14.1548175643275,-9.11483747832986,0.000301309779519535,0.000477117485656586,0.723081043570973,"Stable"
"PF3D7_1315400",-1.10844615370158,16.4877605131508,-2.42456785779091,0.0609854015666126,0.0697140089471447,-5.3602471095429,"Stable"
"PF3D7_0308900",-1.11002812762732,16.6655448651073,-5.65051125150134,0.00260270611109699,0.00354755076969133,-1.77576422133761,"Stable"
"PF3D7_1126500",-1.11200218977327,12.8436336563887,-8.50745379285148,0.000414774118657131,0.000637925397022496,0.35460156966187,"Stable"
"PF3D7_1326400",-1.11492645203587,16.0313904676481,-4.95897590188486,0.00453811398251253,0.00607193648946019,-2.42035089622725,"Stable"
"PF3D7_1118400",-1.11837040680031,14.8419786608088,-6.19694098988323,0.0017389047746764,0.00241721037762269,-1.30736198278045,"Stable"
"PF3D7_0422300",-1.12534958445896,16.9921631540635,-5.07548055208776,0.00411637248681408,0.00552796039711536,-2.30741191203095,"Stable"
"PF3D7_1416500",-1.12981566133154,20.843431512379,-9.60642491010637,0.000235870289358545,0.00038213505064227,1.00450535621662,"Stable"
"PF3D7_0321100",-1.13343858735649,17.6010349231621,-5.33847802211514,0.00332242362510569,0.00449156155999812,-2.05905623947048,"Stable"
"PF3D7_1012900",-1.13347232801693,21.4306649557431,-10.705847481023,0.000141855368432392,0.000241419276556436,1.58586838431951,"Stable"
